district,month,n,net_sentiment,mean_score,ci95,share_pos,share_neg,reliable,net_sentiment_rolling,zscore,is_anomaly
hove,2023-01,21,0.2857142857142857,0.33499101513908025,0.3991317330971528,0.42857142857142855,0.14285714285714285,True,0.054621848739495785,0.8966733110317657,False
hove,2023-02,17,-0.17647058823529413,0.054279001320109654,0.48552085378559784,0.23529411764705882,0.4117647058823529,False,0.03641456582633052,-1.9671648710814005,True
hove,2023-03,19,0.0,0.03955016324394628,0.4448070169692188,0.3157894736842105,0.3157894736842105,False,-0.06639928698752229,-0.8736993833654642,False
hove,2023-04,44,-0.022727272727272728,0.29108885201540863,0.27670716285023395,0.2727272727272727,0.29545454545454547,True,0.03590250329380764,-1.014524484056153,False
hove,2023-05,46,0.13043478260869565,0.21854093670845032,0.2777388154152366,0.3695652173913043,0.2391304347826087,True,0.13590250329380762,-0.06548576201020702,False
hove,2023-06,40,0.3,0.25200592130422594,0.2934397005044441,0.45,0.15,True,0.2356768424298489,0.9851919457516273,False
hove,2023-07,47,0.2765957446808511,0.43691418018746886,0.2533668434702526,0.44680851063829785,0.1702127659574468,True,0.2381755930545366,0.8401720548275989,False
hove,2023-08,58,0.13793103448275862,0.1764733935224599,0.2498071195138902,0.39655172413793105,0.25862068965517243,True,0.22984225972120323,-0.01903670331162901,False
hove,2023-09,40,0.275,0.20958104431629182,0.30124406989008545,0.475,0.2,True,0.23097701149425287,0.8302843349918698,False
hove,2023-10,25,0.28,0.3690632772445679,0.36564213750764296,0.48,0.2,True,0.21166666666666667,0.8612658571438214,False
hove,2023-11,25,0.08,0.05957902908325194,0.3902028111528577,0.4,0.32,True,0.18666666666666668,-0.37799502893423975,False
hove,2023-12,35,0.2,0.302874561718532,0.3113029437487738,0.42857142857142855,0.22857142857142856,True,0.023157894736842117,0.3655615027125969,False
hove,2024-01,19,-0.21052631578947367,-0.24177525231712743,0.43622198825016956,0.21052631578947367,0.42105263157894735,False,-0.03128654970760233,-2.1781845266055284,True
hove,2024-02,12,-0.08333333333333333,0.0052792777617772235,0.5789817933288022,0.25,0.3333333333333333,False,-0.037347155768208386,-1.3900580858979894,False
hove,2024-03,22,0.18181818181818182,0.27063665877689014,0.401644222488183,0.5,0.3181818181818182,True,0.101455733808675,0.25290142216004585,False
hove,2024-04,34,0.20588235294117646,0.2460562989992254,0.3166070486223638,0.3235294117647059,0.11764705882352941,True,0.21470359705653821,0.402010352303128,False
hove,2024-05,39,0.2564102564102564,0.32273505131403607,0.29350991283161343,0.4358974358974359,0.1794871794871795,True,0.2516585120602337,0.7150966244269216,False
hove,2024-06,41,0.2926829268292683,0.5470942476900612,0.2516287201382976,0.4878048780487805,0.1951219512195122,True,0.23708511513389563,0.9398531328463323,False
hove,2024-07,37,0.16216216216216217,0.19251253959294914,0.31113860650070413,0.3783783783783784,0.21621621621621623,True,0.21665568007031422,0.13110674048161236,False
hove,2024-08,41,0.1951219512195122,0.2935477596957509,0.2884662565437757,0.43902439024390244,0.24390243902439024,True,0.25798359334944704,0.33533562744240025,False
hove,2024-09,24,0.4166666666666667,0.5805720686912537,0.33009132274533975,0.5833333333333334,0.16666666666666666,True,0.16471385302088315,1.708094129297163,True
hove,2024-10,34,-0.11764705882352941,-0.05857623499982497,0.32977129775914915,0.23529411764705882,0.35294117647058826,True,0.06633986928104575,-1.6026763751760884,True
hove,2024-11,20,-0.1,0.1794839769601822,0.43310765022063513,0.3,0.4,True,-0.058056265984654735,-1.4933298264044947,False
hove,2024-12,23,0.043478260869565216,0.12413347544877426,0.40357861715288906,0.2608695652173913,0.21739130434782608,True,-0.01884057971014493,-0.6042948429137118,False
hove,2025-01,27,0.0,0.18330054371445267,0.373103857289173,0.3333333333333333,0.3333333333333333,True,0.0,-0.8736993833654642,False
hove,2025-02,23,-0.043478260869565216,-0.20828598996867304,0.4043123521432845,0.34782608695652173,0.391304347826087,True,-0.032036613272311214,-1.1431039238172165,False
hove,2025-03,19,-0.05263157894736842,0.1287160453043486,0.4454419382479388,0.3157894736842105,0.3684210526315789,False,0.040035458799760865,-1.1998206691754802,False
hove,2025-04,37,0.21621621621621623,0.396432825036951,0.2821887119890368,0.3783783783783784,0.16216216216216217,True,0.14543730333204016,0.46604211509730453,False
hove,2025-05,33,0.2727272727272727,0.39281989408261847,0.307603942598143,0.3939393939393939,0.12121212121212122,True,0.25121645709881,0.8162018249228007,False
hove,2025-06,34,0.2647058823529412,0.23954962807543137,0.32362839469373045,0.5,0.23529411764705882,True,0.2549019607843137,0.7664988482084402,False
hove,2025-07,44,0.22727272727272727,0.197204359553077,0.2795466265736825,0.38636363636363635,0.1590909090909091,True,0.23645663799116487,0.5345516235414233,False
hove,2025-08,46,0.21739130434782608,0.28720719529234845,0.2738616053657593,0.43478260869565216,0.21739130434782608,True,0.26316387260915,0.47332331889329776,False
hove,2025-09,29,0.3448275862068966,0.5882478993514488,0.28609340907792574,0.4482758620689655,0.10344827586206896,True,0.22188905547226387,1.262957316769124,False
hove,2025-10,29,0.10344827586206896,0.1655819847665984,0.36255502045834914,0.5172413793103449,0.41379310344827586,True,0.18275862068965518,-0.2327023733250878,False
hove,2025-11,30,0.1,0.19125787417093912,0.3514421644296552,0.43333333333333335,0.3333333333333333,True,0.08448275862068966,-0.2540689403264336,False
hove,2025-12,20,0.05,0.1724516123533249,0.43074510980735903,0.3,0.25,True,-0.020175438596491218,-0.5638841618459489,False
hove,2026-01,19,-0.21052631578947367,-0.2637663452248824,0.443363888699948,0.2631578947368421,0.47368421052631576,False,0.03421052631578947,-2.1781845266055284,True
hove,2026-02,19,0.2631578947368421,0.2602127884563647,0.42764836280172647,0.42105263157894735,0.15789473684210525,False,0.08164642375168692,0.756907045684616,False
hove,2026-03,26,0.19230769230769232,0.4550253955217508,0.33532711219549954,0.38461538461538464,0.19230769230769232,True,0.27825864395737354,0.3178976224788253,False
hove,2026-04,29,0.3793103448275862,0.325631622610421,0.34175123032930765,0.5172413793103449,0.13793103448275862,True,0.2738726790450928,1.4766229867825824,False
hove,2026-05,32,0.25,0.48628787137567997,0.29383751650610207,0.40625,0.15625,True,0.3088692140416278,0.675376724232112,False
hove,2026-06,37,0.2972972972972973,0.49976814920837814,0.26966307100844056,0.43243243243243246,0.13513513513513514,True,0.22485667485667485,0.9684451770208429,False
hove,2026-07,55,0.12727272727272726,0.19969542893496425,0.25401388467453007,0.38181818181818183,0.2545454545454545,True,0.20674073282768934,-0.08507881949760725,False
hove,2026-08,46,0.1956521739130435,0.3086802389310754,0.2706720564999487,0.3695652173913043,0.17391304347826086,True,0.16146245059288536,0.33862104866742165,False
kemptown,2023-01,21,0.047619047619047616,0.3334776333400181,0.39826274297530323,0.2857142857142857,0.23809523809523808,True,-0.09157509157509158,-0.27268073555111305,False
kemptown,2023-02,13,-0.23076923076923078,-0.23624192292873675,0.5327025868343545,0.15384615384615385,0.38461538461538464,False,-0.0363587030253697,-1.3249137127709938,False
kemptown,2023-03,27,0.07407407407407407,-0.15586721455609356,0.36844334402326456,0.3333333333333333,0.25925925925925924,True,-0.03708020374687042,-0.17268783566910684,False
kemptown,2023-04,22,0.045454545454545456,0.09287671609358354,0.42327728969943157,0.3181818181818182,0.2727272727272727,True,0.23031906365239696,-0.28086197281418623,False
kemptown,2023-05,49,0.5714285714285714,0.6991281472906774,0.19164750526976604,0.6530612244897959,0.08163265306122448,True,0.2519240019240019,1.7071786821126096,True
kemptown,2023-06,36,0.1388888888888889,0.09108539091216193,0.31588311374217487,0.3611111111111111,0.2222222222222222,True,0.30343915343915345,0.07229476904180836,False
kemptown,2023-07,50,0.2,0.25836703658103943,0.26277638198173137,0.48,0.28,True,0.31402116402116403,0.30327836776924266,False
kemptown,2023-08,63,0.6031746031746031,0.65725729011354,0.18314675334201183,0.6825396825396826,0.07936507936507936,True,0.32148830858508276,1.827170161971017,True
kemptown,2023-09,31,0.16129032258064516,0.0900601456242223,0.3504594674524749,0.45161290322580644,0.2903225806451613,True,0.33057921767599185,0.15696617619995873,False
kemptown,2023-10,22,0.22727272727272727,0.27412118965929205,0.40486852657520916,0.45454545454545453,0.22727272727272727,True,0.07618768328445748,0.40636195728396535,False
kemptown,2023-11,25,-0.16,-0.4096105718612671,0.3510888324668207,0.12,0.28,True,0.010078563411896743,-1.0574250138250976,False
kemptown,2023-12,27,-0.037037037037037035,-0.19255747618498625,0.36927188360803614,0.37037037037037035,0.4074074074074074,True,-0.18234567901234566,-0.5926580151735328,False
kemptown,2024-01,20,-0.35,-0.30388891100883486,0.4246391035960423,0.2,0.55,True,-0.21790123456790123,-1.7755740207776658,True
kemptown,2024-02,15,-0.26666666666666666,-0.46358346541722617,0.4598253902935059,0.2,0.4666666666666667,False,-0.1685185185185185,-1.4605963861493467,False
kemptown,2024-03,27,0.1111111111111111,0.1755971864417747,0.3719440377335338,0.4444444444444444,0.3333333333333333,True,-0.01613756613756614,-0.032697775834298184,False
kemptown,2024-04,28,0.10714285714285714,-0.06373092745031629,0.3731167372972898,0.42857142857142855,0.32142857142857145,True,0.23247354497354497,-0.04769671081659911,False
kemptown,2024-05,48,0.4791666666666667,0.6560887557764848,0.2058529857328176,0.5833333333333334,0.10416666666666667,True,0.2906746031746032,1.358453443774113,False
kemptown,2024-06,35,0.2857142857142857,0.2936653290476118,0.30640395757420946,0.4857142857142857,0.2,True,0.33297450185748056,0.6272553633869427,False
kemptown,2024-07,47,0.23404255319148937,0.15320548224956432,0.27311092971672657,0.44680851063829785,0.2127659574468085,True,0.3486908761264864,0.43195008234081145,False
kemptown,2024-08,38,0.5263157894736842,0.6272275510587191,0.24785574203340696,0.6052631578947368,0.07894736842105263,True,0.3129765904122008,1.5366644738927675,True
kemptown,2024-09,28,0.17857142857142858,-0.05319904429571969,0.3574805856330751,0.39285714285714285,0.21428571428571427,True,0.16829573934837094,0.22228411886481764,False
kemptown,2024-10,20,-0.2,-0.3002392739057541,0.4154184979295626,0.25,0.45,True,0.09542124542124542,-1.2086142784466911,False
kemptown,2024-11,13,0.3076923076923077,0.38236541931445783,0.5203463425374428,0.5384615384615384,0.23076923076923078,False,0.04871794871794871,0.7103263879043017,False
kemptown,2024-12,26,0.038461538461538464,-0.05726327804418711,0.37021768263757016,0.3076923076923077,0.2692307692307692,True,-0.03846153846153847,-0.30729366243334594,False
kemptown,2025-01,13,-0.46153846153846156,-0.5224429552371685,0.47164446576727,0.15384615384615385,0.6153846153846154,False,-0.11204013377926424,-2.197159470203263,True
kemptown,2025-02,23,0.08695652173913043,0.2821682199187901,0.39184568897984945,0.391304347826087,0.30434782608695654,True,-0.04152731326644373,-0.123995640943956,False
kemptown,2025-03,24,0.25,0.26163632919390994,0.38867954807000205,0.5,0.25,True,0.1863929146537842,0.4922649485462343,False
kemptown,2025-04,27,0.2222222222222222,0.33934275309244794,0.3536987546934938,0.4074074074074074,0.18518518518518517,True,0.3171296296296296,0.3872724036701278,False
kemptown,2025-05,48,0.4791666666666667,0.5059439825514952,0.23543454390825952,0.5833333333333334,0.10416666666666667,True,0.2650462962962963,1.358453443774113,False
kemptown,2025-06,32,0.09375,-0.012483475729823099,0.3432086712595241,0.3125,0.21875,True,0.25237573099415206,-0.09831811638186472,False
kemptown,2025-07,38,0.18421052631578946,0.15624228276704488,0.3135774455426098,0.42105263157894735,0.23684210526315788,True,0.27598684210526314,0.24359839489229784,False
kemptown,2025-08,40,0.55,0.4458883985877037,0.26910727610947316,0.6,0.05,True,0.24473684210526314,1.6261844332081847,True
kemptown,2025-09,22,0.0,0.00022939660332420666,0.4225902894753137,0.2727272727272727,0.2727272727272727,True,0.11666666666666664,-0.45266795533872417,False
