district,month_num,value,n_months,total_texts
hove,1,-0.03383458646616541,4,86
hove,2,-0.010031071925337642,4,71
hove,3,0.08037357379462642,4,86
hove,4,0.19467041031442653,4,144
hove,5,0.2273930779365562,4,150
hove,6,0.2886715266198767,4,152
hove,7,0.19832584034711695,4,183
hove,8,0.1865241159907851,4,191
hove,9,0.3454980842911877,3,93
hove,10,0.0886004056795132,3,88
hove,11,0.02666666666666667,3,75
hove,12,0.09782608695652174,3,78
kemptown,1,-0.3020909645909646,4,72
kemptown,2,-0.0571652984696463,4,73
kemptown,3,0.09409041394335511,4,95
kemptown,4,0.06592712842712842,4,104
kemptown,5,0.4935515873015873,4,190
kemptown,6,0.19208829365079366,4,135
kemptown,7,0.17200513034193599,4,178
kemptown,8,0.5107816890711627,4,185
kemptown,9,0.11328725038402458,3,81
kemptown,10,-0.057575757575757586,3,57
kemptown,11,0.03473801560758083,3,61
kemptown,12,0.1071415004748338,3,78
north_laine,1,-0.11726508785332315,4,74
north_laine,2,0.21524122807017543,4,80
north_laine,3,-0.004106583072100316,4,98
north_laine,4,0.1763952892985151,4,140
north_laine,5,0.48034455985302726,4,160
north_laine,6,0.3205113806528901,4,154
north_laine,7,0.2862814313346228,4,208
north_laine,8,0.3482767401631499,4,234
north_laine,9,0.1937669376693767,3,118
north_laine,10,0.17679012345679013,3,88
north_laine,11,0.1594541910331384,3,85
north_laine,12,0.1997269705603039,3,85
seafront,1,0.06158661740558292,4,89
seafront,2,-0.08592796092796093,4,70
seafront,3,0.08601190476190476,4,97
seafront,4,0.13155338493387714,4,128
seafront,5,0.22196199353482093,4,159
seafront,6,0.17856150793650793,4,176
seafront,7,0.1554565172577595,4,213
seafront,8,0.4611943431961121,4,214
seafront,9,0.026275708493519043,3,120
seafront,10,0.20491551459293392,3,72
seafront,11,-0.049206349206349205,3,71
seafront,12,0.1152134370525175,3,78
the_lanes,1,-0.12684904495249322,4,103
the_lanes,2,-0.01755252100840336,4,73
the_lanes,3,-0.11469664254590725,4,128
the_lanes,4,0.04435035685035685,4,134
the_lanes,5,0.3685257177033493,4,204
the_lanes,6,0.22805103740190985,4,195
the_lanes,7,0.2256439593968198,4,256
the_lanes,8,0.2856003286331155,4,247
the_lanes,9,0.09851551956815115,3,119
the_lanes,10,0.05694942254082039,3,103
the_lanes,11,-0.09477124183006536,3,66
the_lanes,12,0.17954144620811285,3,89
